property_id,source_name,sentiment_score,sentiment_label,zero_shot_fraud_score,linguistic_score,fraud_score,risk_level,fraud_flags,tabular_model_version,mistral_explanation
newkey_122799,newkey,0.0,positive,0.3671,0.0,12.85,normal,[],xlm_roberta_mdeberta_v1,
newkey_122835,newkey,0.0,positive,0.323,0.45,22.55,suspect,"['external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_122564,newkey,0.0,positive,0.3455,0.2,17.09,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_122831,newkey,0.0,positive,0.3302,0.0,11.56,normal,[],xlm_roberta_mdeberta_v1,
newkey_123127,newkey,0.0,positive,0.36,0.0,12.6,normal,[],xlm_roberta_mdeberta_v1,
newkey_123100,newkey,0.0,positive,0.3404,0.0,11.91,normal,[],xlm_roberta_mdeberta_v1,
newkey_123111,newkey,0.0,positive,0.355,0.0,12.42,normal,[],xlm_roberta_mdeberta_v1,
newkey_123092,newkey,0.0,positive,0.3272,0.45,22.7,suspect,"['external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_123113,newkey,0.0,positive,0.3684,0.0,12.89,normal,[],xlm_roberta_mdeberta_v1,
newkey_123269,newkey,0.0,positive,0.3156,0.0,11.05,normal,[],xlm_roberta_mdeberta_v1,
newkey_123115,newkey,0.0,positive,0.3741,0.0,13.09,normal,[],xlm_roberta_mdeberta_v1,
newkey_122978,newkey,0.0,positive,0.3111,0.0,10.89,normal,[],xlm_roberta_mdeberta_v1,
newkey_123220,newkey,0.0,positive,0.3969,0.2,18.89,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_123403,newkey,0.0,positive,0.3331,0.0,11.66,normal,[],xlm_roberta_mdeberta_v1,
newkey_123398,newkey,0.0,positive,0.3035,0.0,10.62,normal,[],xlm_roberta_mdeberta_v1,
newkey_123191,newkey,0.0921,neutral,0.3587,0.2,21.24,suspect,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_123423,newkey,0.0,positive,0.3315,0.25,17.85,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_123529,newkey,0.0,positive,0.3155,0.25,17.29,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_123564,newkey,0.0,positive,0.2863,0.0,10.02,normal,[],xlm_roberta_mdeberta_v1,
newkey_123566,newkey,0.0,positive,0.2742,0.0,9.6,normal,[],xlm_roberta_mdeberta_v1,
newkey_123524,newkey,0.0,positive,0.3027,0.0,10.59,normal,[],xlm_roberta_mdeberta_v1,
newkey_123445,newkey,0.0,positive,0.3587,0.0,12.55,normal,[],xlm_roberta_mdeberta_v1,
newkey_123408,newkey,0.0,positive,0.2538,0.0,8.88,normal,[],xlm_roberta_mdeberta_v1,
newkey_123567,newkey,0.0,positive,0.3433,0.0,12.02,normal,[],xlm_roberta_mdeberta_v1,
newkey_123626,newkey,0.0,positive,0.3389,0.0,11.86,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_0b22a3129925,tunisieannonce,0.0,positive,0.3253,0.25,17.64,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_123794,newkey,0.0,positive,0.2652,0.0,9.28,normal,[],xlm_roberta_mdeberta_v1,
newkey_123621,newkey,0.0,positive,0.3556,0.0,12.45,normal,[],xlm_roberta_mdeberta_v1,
newkey_123639,newkey,0.0,positive,0.3126,0.0,10.94,normal,[],xlm_roberta_mdeberta_v1,
newkey_123862,newkey,0.0,positive,0.3099,0.0,10.85,normal,[],xlm_roberta_mdeberta_v1,
newkey_124029,newkey,0.0,positive,0.3947,0.0,13.81,normal,[],xlm_roberta_mdeberta_v1,
newkey_123992,newkey,0.0,positive,0.3218,0.0,11.26,normal,[],xlm_roberta_mdeberta_v1,
newkey_123960,newkey,0.0,positive,0.3453,0.2,17.09,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_124047,newkey,0.0,positive,0.4236,0.2,19.83,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_124027,newkey,0.0,positive,0.3591,0.2,17.57,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_124048,newkey,0.0,positive,0.2972,0.2,15.4,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_123954,newkey,0.0,positive,0.3729,0.5,25.55,suspect,"['urgency_detected', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_07d21c505e6e,tunisieannonce,0.0,positive,0.3373,0.2,16.81,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_123953,newkey,0.0,positive,0.3726,0.25,19.29,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_124138,newkey,0.0,positive,0.3507,0.0,12.27,normal,[],xlm_roberta_mdeberta_v1,
newkey_124117,newkey,0.0,positive,0.2895,0.2,15.13,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_124051,newkey,0.0,positive,0.3229,0.0,11.3,normal,[],xlm_roberta_mdeberta_v1,
newkey_124112,newkey,0.0,positive,0.3663,0.0,12.82,normal,[],xlm_roberta_mdeberta_v1,
newkey_124149,newkey,0.0,positive,0.3293,0.0,11.53,normal,[],xlm_roberta_mdeberta_v1,
newkey_124108,newkey,0.0,positive,0.3571,0.0,12.5,normal,[],xlm_roberta_mdeberta_v1,
newkey_124059,newkey,0.0,positive,0.335,0.2,16.73,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_124049,newkey,0.0,positive,0.3798,0.2,18.29,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_124542,newkey,0.0,positive,0.3361,0.0,11.76,normal,[],xlm_roberta_mdeberta_v1,
newkey_124172,newkey,0.0,positive,0.3424,0.0,11.98,normal,[],xlm_roberta_mdeberta_v1,
newkey_124359,newkey,0.0,positive,0.2991,0.0,10.47,normal,[],xlm_roberta_mdeberta_v1,
newkey_124545,newkey,0.0,positive,0.3382,0.0,11.84,normal,[],xlm_roberta_mdeberta_v1,
newkey_124373,newkey,0.0,positive,0.3911,0.0,13.69,normal,[],xlm_roberta_mdeberta_v1,
newkey_124562,newkey,0.0664,neutral,0.4284,0.45,28.9,suspect,"['external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_124730,newkey,0.0,positive,0.3321,0.0,11.62,normal,[],xlm_roberta_mdeberta_v1,
newkey_124683,newkey,0.0,positive,0.2868,0.0,10.04,normal,[],xlm_roberta_mdeberta_v1,
newkey_124623,newkey,0.0,positive,0.4011,0.2,19.04,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_124587,newkey,0.0,positive,0.3505,0.0,12.27,normal,[],xlm_roberta_mdeberta_v1,
newkey_124905,newkey,0.0,positive,0.2861,0.0,10.01,normal,[],xlm_roberta_mdeberta_v1,
newkey_124657,newkey,0.0,positive,0.3195,0.25,17.43,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_124559,newkey,0.0,positive,0.4115,0.0,14.4,normal,[],xlm_roberta_mdeberta_v1,
newkey_124665,newkey,0.0,positive,0.3505,0.0,12.27,normal,[],xlm_roberta_mdeberta_v1,
newkey_124741,newkey,0.0802,neutral,0.3656,0.25,22.25,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_124863,newkey,0.0,positive,0.277,0.0,9.7,normal,[],xlm_roberta_mdeberta_v1,
newkey_124766,newkey,0.0,positive,0.3336,0.0,11.68,normal,[],xlm_roberta_mdeberta_v1,
newkey_124768,newkey,0.0,positive,0.2524,0.2,13.83,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_124743,newkey,0.0,positive,0.2451,0.2,13.58,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_124742,newkey,0.0,positive,0.3499,0.0,12.25,normal,[],xlm_roberta_mdeberta_v1,
newkey_124936,newkey,0.0,positive,0.3427,0.2,16.99,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_125025,newkey,0.0,positive,0.3329,0.25,17.9,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_124951,newkey,0.0,positive,0.314,0.0,10.99,normal,[],xlm_roberta_mdeberta_v1,
newkey_124968,newkey,0.0,positive,0.3574,0.0,12.51,normal,[],xlm_roberta_mdeberta_v1,
newkey_125093,newkey,0.0,positive,0.3122,0.0,10.93,normal,[],xlm_roberta_mdeberta_v1,
newkey_125117,newkey,0.0,positive,0.3914,0.0,13.7,normal,[],xlm_roberta_mdeberta_v1,
newkey_125037,newkey,0.0,positive,0.3311,0.2,16.59,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_127700,newkey,0.0,positive,0.3326,0.0,11.64,normal,[],xlm_roberta_mdeberta_v1,
newkey_127704,newkey,0.0,positive,0.3203,0.2,16.21,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_127707,newkey,0.0,positive,0.305,0.0,10.67,normal,[],xlm_roberta_mdeberta_v1,
newkey_127866,newkey,0.0,positive,0.3144,0.2,16.0,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_127752,newkey,0.0,positive,0.338,0.0,11.83,normal,[],xlm_roberta_mdeberta_v1,
newkey_127779,newkey,0.0,positive,0.3394,0.0,11.88,normal,[],xlm_roberta_mdeberta_v1,
newkey_127869,newkey,0.0,positive,0.0753,0.2,7.64,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_127870,newkey,0.0,positive,0.2323,0.0,8.13,normal,[],xlm_roberta_mdeberta_v1,
newkey_127778,newkey,0.0,positive,0.351,0.0,12.28,normal,[],xlm_roberta_mdeberta_v1,
newkey_128037,newkey,0.0,positive,0.2869,0.2,15.04,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_127895,newkey,0.0,positive,0.3423,0.25,18.23,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_127952,newkey,0.0,positive,0.3172,0.0,11.1,normal,[],xlm_roberta_mdeberta_v1,
newkey_127868,newkey,0.0,positive,0.3139,0.2,15.99,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_128187,newkey,0.0,positive,0.3324,0.0,11.63,normal,[],xlm_roberta_mdeberta_v1,
newkey_128134,newkey,0.0,positive,0.3124,0.25,17.18,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_128096,newkey,0.0,positive,0.3075,0.0,10.76,normal,[],xlm_roberta_mdeberta_v1,
newkey_128002,newkey,0.0,positive,0.3172,0.0,11.1,normal,[],xlm_roberta_mdeberta_v1,
newkey_128133,newkey,0.0,positive,0.3256,0.0,11.4,normal,[],xlm_roberta_mdeberta_v1,
newkey_128097,newkey,0.0,positive,0.279,0.0,9.77,normal,[],xlm_roberta_mdeberta_v1,
newkey_127981,newkey,0.0,positive,0.3469,0.0,12.14,normal,[],xlm_roberta_mdeberta_v1,
newkey_128486,newkey,0.0,positive,0.3326,0.0,11.64,normal,[],xlm_roberta_mdeberta_v1,
newkey_128307,newkey,0.0,positive,0.2042,0.0,7.15,normal,[],xlm_roberta_mdeberta_v1,
newkey_128204,newkey,0.0,positive,0.2913,0.0,10.2,normal,[],xlm_roberta_mdeberta_v1,
newkey_128521,newkey,0.0,positive,0.2911,0.0,10.19,normal,[],xlm_roberta_mdeberta_v1,
newkey_128670,newkey,0.0,positive,0.3682,0.0,12.89,normal,[],xlm_roberta_mdeberta_v1,
newkey_128646,newkey,0.0,positive,0.328,0.2,16.48,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_128666,newkey,0.0,positive,0.342,0.25,18.22,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_128624,newkey,0.0,positive,0.3114,0.25,17.15,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_128545,newkey,0.0,positive,0.3375,0.0,11.81,normal,[],xlm_roberta_mdeberta_v1,
newkey_129123,newkey,0.0,positive,0.2772,0.0,9.7,normal,[],xlm_roberta_mdeberta_v1,
newkey_129011,newkey,0.0,positive,0.3026,0.2,15.59,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_128919,newkey,0.0,positive,0.3254,0.25,17.64,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_129055,newkey,0.0,positive,0.263,0.2,14.21,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_128906,newkey,0.0,positive,0.3292,0.0,11.52,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_10df09937a99,tunisieannonce,0.0,positive,0.3283,0.55,25.24,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
newkey_128977,newkey,0.0,positive,0.3237,0.25,17.58,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_129173,newkey,0.0,positive,0.32,0.0,11.2,normal,[],xlm_roberta_mdeberta_v1,
newkey_129152,newkey,0.0,positive,0.2594,0.2,14.08,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_129231,newkey,0.0,positive,0.291,0.2,15.18,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_129182,newkey,0.0,positive,0.3657,0.0,12.8,normal,[],xlm_roberta_mdeberta_v1,
newkey_129211,newkey,0.0,positive,0.3659,0.0,12.81,normal,[],xlm_roberta_mdeberta_v1,
newkey_129221,newkey,0.0,positive,0.3215,0.0,11.25,normal,[],xlm_roberta_mdeberta_v1,
newkey_129232,newkey,0.0,positive,0.4043,0.2,19.15,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_129246,newkey,0.0,positive,0.2446,0.0,8.56,normal,[],xlm_roberta_mdeberta_v1,
newkey_129377,newkey,0.0,positive,0.2043,0.0,7.15,normal,[],xlm_roberta_mdeberta_v1,
newkey_129301,newkey,0.0,positive,0.3701,0.0,12.95,normal,[],xlm_roberta_mdeberta_v1,
newkey_129349,newkey,0.0,positive,0.3046,0.25,16.91,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_129408,newkey,0.0,positive,0.3265,0.0,11.43,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_0b2f19989bcf,tunisieannonce,0.0792,neutral,0.3357,0.0,14.92,normal,[],xlm_roberta_mdeberta_v1,
newkey_129334,newkey,0.0,positive,0.3129,0.2,15.95,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_129335,newkey,0.0,positive,0.2965,0.0,10.38,normal,[],xlm_roberta_mdeberta_v1,
newkey_129337,newkey,0.0,positive,0.2841,0.0,9.94,normal,[],xlm_roberta_mdeberta_v1,
newkey_129409,newkey,0.0,positive,0.3058,0.2,15.7,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_129576,newkey,0.0,positive,0.279,0.25,16.02,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_129686,newkey,0.0,positive,0.3051,0.0,10.68,normal,[],xlm_roberta_mdeberta_v1,
newkey_129704,newkey,0.0,positive,0.3188,0.0,11.16,normal,[],xlm_roberta_mdeberta_v1,
newkey_129653,newkey,0.0,positive,0.3573,0.45,23.76,suspect,"['external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_129656,newkey,0.0,positive,0.3181,0.25,17.38,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_129608,newkey,0.0,positive,0.3946,0.25,20.06,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_129726,newkey,0.0,positive,0.3512,0.2,17.29,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_129730,newkey,0.0,positive,0.2743,0.0,9.6,normal,[],xlm_roberta_mdeberta_v1,
newkey_129917,newkey,0.0,positive,0.2938,0.0,10.28,normal,[],xlm_roberta_mdeberta_v1,
newkey_129734,newkey,0.0,positive,0.2816,0.25,16.11,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_129729,newkey,0.0,positive,0.2791,0.0,9.77,normal,[],xlm_roberta_mdeberta_v1,
newkey_129741,newkey,0.0,positive,0.2913,0.25,16.45,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_130174,newkey,0.0,positive,0.345,0.0,12.07,normal,[],xlm_roberta_mdeberta_v1,
newkey_129987,newkey,0.0,positive,0.3725,0.0,13.04,normal,[],xlm_roberta_mdeberta_v1,
newkey_129977,newkey,0.0,positive,0.3391,0.2,16.87,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130027,newkey,0.0,positive,0.3306,0.0,11.57,normal,[],xlm_roberta_mdeberta_v1,
newkey_129872,newkey,0.0,positive,0.3341,0.0,11.69,normal,[],xlm_roberta_mdeberta_v1,
newkey_129926,newkey,0.0,positive,0.3335,0.0,11.67,normal,[],xlm_roberta_mdeberta_v1,
newkey_129869,newkey,0.0,positive,0.2456,0.2,13.6,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130157,newkey,0.0,positive,0.331,0.25,17.84,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_130098,newkey,0.0,positive,0.3639,0.0,12.74,normal,[],xlm_roberta_mdeberta_v1,
newkey_130153,newkey,0.0,positive,0.3157,0.0,11.05,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_0b5ceabe48b0,tunisieannonce,0.0,positive,0.3537,0.45,23.63,suspect,"['external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
newkey_130159,newkey,0.0,positive,0.3602,0.0,12.61,normal,[],xlm_roberta_mdeberta_v1,
newkey_130160,newkey,0.0,positive,0.3276,0.0,11.47,normal,[],xlm_roberta_mdeberta_v1,
newkey_130077,newkey,0.0,positive,0.3276,0.0,11.47,normal,[],xlm_roberta_mdeberta_v1,
newkey_130136,newkey,0.0,positive,0.3292,0.0,11.52,normal,[],xlm_roberta_mdeberta_v1,
newkey_130156,newkey,0.0,positive,0.3185,0.2,16.15,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130181,newkey,0.0,positive,0.3346,0.0,11.71,normal,[],xlm_roberta_mdeberta_v1,
newkey_130395,newkey,0.0,positive,0.2593,0.0,9.08,normal,[],xlm_roberta_mdeberta_v1,
newkey_130322,newkey,0.0,positive,0.3096,0.0,10.84,normal,[],xlm_roberta_mdeberta_v1,
newkey_130171,newkey,0.0,positive,0.3049,0.2,15.67,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130399,newkey,0.0,positive,0.3584,0.0,12.54,normal,[],xlm_roberta_mdeberta_v1,
newkey_130191,newkey,0.0,positive,0.343,0.2,17.0,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130466,newkey,0.0,positive,0.3644,0.0,12.75,normal,[],xlm_roberta_mdeberta_v1,
newkey_130467,newkey,0.0,positive,0.3004,0.2,15.51,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130447,newkey,0.0,positive,0.248,0.0,8.68,normal,[],xlm_roberta_mdeberta_v1,
newkey_130454,newkey,0.0,positive,0.3555,0.0,12.44,normal,[],xlm_roberta_mdeberta_v1,
newkey_130442,newkey,0.0,positive,0.3194,0.25,17.43,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_130433,newkey,0.0,positive,0.3188,0.25,17.41,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_130439,newkey,0.0,positive,0.3227,0.25,17.54,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_130526,newkey,0.0,positive,0.2799,0.0,9.8,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_8cb4c774edbf,tunisieannonce,0.0851,neutral,0.3144,0.2,19.41,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130600,newkey,0.0,positive,0.3571,0.2,17.5,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_130603,newkey,0.0,positive,0.3505,0.0,12.27,normal,[],xlm_roberta_mdeberta_v1,
newkey_130640,newkey,0.0,positive,0.3161,0.0,11.06,normal,[],xlm_roberta_mdeberta_v1,
newkey_130515,newkey,0.0,positive,0.3405,0.0,11.92,normal,[],xlm_roberta_mdeberta_v1,
newkey_130577,newkey,0.0,positive,0.3486,0.0,12.2,normal,[],xlm_roberta_mdeberta_v1,
newkey_130868,newkey,0.0,positive,0.2906,0.2,15.17,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_95276,newkey,0.0,positive,0.3765,0.0,13.18,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_0b120cd33729,tunisieannonce,0.0,positive,0.3323,0.25,17.88,normal,['external_contact'],xlm_roberta_mdeberta_v1,
newkey_131038,newkey,0.0,positive,0.3928,0.0,13.75,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_446935f3cf13,tunisieannonce,0.0,positive,0.3739,0.2,18.09,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_131067,newkey,0.0,positive,0.3375,0.2,16.81,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_131042,newkey,0.0,positive,0.281,0.0,9.84,normal,[],xlm_roberta_mdeberta_v1,
newkey_130985,newkey,0.0,positive,0.329,0.25,17.77,normal,['external_contact'],xlm_roberta_mdeberta_v1,
tunisieannonce_8ca413ec8108,tunisieannonce,0.6178,negative,0.3422,0.0,36.69,suspect,[],xlm_roberta_mdeberta_v1,
newkey_130815,newkey,0.0,positive,0.3706,0.2,17.97,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_78799,newkey,0.0,positive,0.3387,0.2,16.85,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
45572,tecnocasa,0.0,positive,0.4108,0.2,19.38,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
newkey_97511,newkey,0.0,positive,0.3494,0.2,17.23,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
44766,tecnocasa,0.0,positive,0.3787,0.2,18.25,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
52712,tecnocasa,0.0,positive,0.2722,0.2,14.53,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
tunisieannonce_448a1d77b44d,tunisieannonce,0.4528,negative,0.3297,0.0,29.65,suspect,[],xlm_roberta_mdeberta_v1,
48225,tecnocasa,0.0,positive,0.4096,0.2,19.34,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
57451,tecnocasa,0.0,positive,0.3393,0.2,16.88,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
tunisieannonce_0102efdce75b,tunisieannonce,0.2423,negative,0.3275,0.0,21.15,suspect,[],xlm_roberta_mdeberta_v1,
64891,tecnocasa,0.0,positive,0.3905,0.2,18.67,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
tunisieannonce_00a2cd419a10,tunisieannonce,0.0,positive,0.3544,0.55,26.15,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
tunisieannonce_00b5d39933da,tunisieannonce,0.0895,neutral,0.3604,0.55,29.94,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
tunisieannonce_40a08d801f42,tunisieannonce,0.4031,negative,0.3404,0.0,28.04,suspect,[],xlm_roberta_mdeberta_v1,
tunisieannonce_00ba1cecdaee,tunisieannonce,0.0,positive,0.2935,0.2,15.27,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
tunisieannonce_01a591b48bc9,tunisieannonce,0.0,positive,0.3761,0.3,20.66,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
tunisieannonce_01649ca226e2,tunisieannonce,0.0,positive,0.3071,0.0,10.75,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_00f2852cdaa4,tunisieannonce,0.0,positive,0.3417,0.0,11.96,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_01454f26106a,tunisieannonce,0.0,positive,0.3354,0.0,11.74,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_00f93567485c,tunisieannonce,0.3286,negative,0.3189,0.25,30.56,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
tunisieannonce_014944fc82c3,tunisieannonce,0.0,positive,0.3229,0.0,11.3,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_00fd1abfa402,tunisieannonce,0.0,positive,0.3407,0.2,16.92,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
tunisieannonce_0259675a899d,tunisieannonce,0.0,positive,0.4022,0.0,14.08,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_01a68d2cfaff,tunisieannonce,0.0792,neutral,0.3532,0.0,15.53,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_020b8df56b3a,tunisieannonce,0.3051,negative,0.3315,0.45,35.06,suspect,"['external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_0290cbea1104,tunisieannonce,0.4979,negative,0.3126,0.2,35.86,suspect,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
tunisieannonce_0287d2e9090c,tunisieannonce,0.0,positive,0.3913,0.0,13.7,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_01bbd5782b56,tunisieannonce,0.0,positive,0.3601,0.3,20.1,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
tunisieannonce_01cf564d2b12,tunisieannonce,0.2523,negative,0.3674,0.2,27.95,suspect,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
tunisieannonce_02869ae2f422,tunisieannonce,0.0,positive,0.3205,0.55,24.97,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
tunisieannonce_02a3ab07da20,tunisieannonce,0.0,positive,0.3349,0.0,11.72,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_03156a384774,tunisieannonce,0.0,positive,0.3531,0.0,12.36,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_033135da23fa,tunisieannonce,0.0,positive,0.3565,0.0,12.48,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_508c2ba97cd5,tunisieannonce,0.5046,negative,0.2908,0.25,36.61,suspect,['external_contact'],xlm_roberta_mdeberta_v1,
tunisieannonce_02fc987a8abb,tunisieannonce,0.0,positive,0.3501,0.25,18.5,normal,['external_contact'],xlm_roberta_mdeberta_v1,
tunisieannonce_0307b3044753,tunisieannonce,0.4203,negative,0.3716,0.75,48.57,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_0368c14fdbf0,tunisieannonce,0.0,positive,0.2984,0.0,10.44,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_037880e6e507,tunisieannonce,0.0,positive,0.3142,0.55,24.75,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
tunisieannonce_03b6a0a40864,tunisieannonce,0.0,positive,0.3496,0.5,24.74,suspect,"['urgency_detected', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
tunisieannonce_04267a454063,tunisieannonce,0.0,positive,0.3342,0.0,11.7,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_03749bb94200,tunisieannonce,0.4666,negative,0.3368,0.3,37.95,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
tunisieannonce_03f04c96da22,tunisieannonce,0.0,positive,0.3189,0.55,24.91,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
tunisieannonce_0406fb6ac205,tunisieannonce,0.4133,negative,0.3768,0.0,29.72,suspect,[],xlm_roberta_mdeberta_v1,
tunisieannonce_03cbbfc39e22,tunisieannonce,0.0,positive,0.2962,0.0,10.37,normal,[],xlm_roberta_mdeberta_v1,
tunisieannonce_03da0f1df399,tunisieannonce,0.0,positive,0.3327,0.3,19.14,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
